id,scrap_date,price,location,type,phone,url,habitaciones,baños,metros_cuadrados,otros,description
157746870,2020-11-02 18:59:21,1245,"Plaça de Francesc Macià, 8, Eixample",Piso,932 515 307,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/157746870/d,2 habs.,1 baño,90 m²,con ascensor,"Piso de 90 metros con 2 habitaciones, cocina independiente, gran salón comedor, recibidor, baño.  Aire acondicionado frio calor por split.  Se entrega sin muebles. Exterior salón comedor y 1 habitación, luminoso. Sus ventanas dobles hacen que no tenga nada de ruido. Su ubicación es excelente f..."
157746715,2020-11-02 18:59:21,1100,"Carrer del Rosselló, Eixample",Piso,931 345 378,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-se-aceptan-mascotas-no-amueblado/157746715/d,2 habs.,2 baños,74 m²,con ascensor,"""Piso ALTO Y REFORMADO muy luminoso con galería interior. Orientado a Sud. SIN AMUEBLAR. Tercer piso de altura real con baldosas hidráulicas, ascensor a pie de calle, dos dormitorios dobles, una de las habitaciones con acceso a galería, 1 baño completos y 1 aseo a ESTRENAR, cocina office equipada..."
157746704,2020-11-02 18:59:21,1500,Eixample,Piso,932 938 436,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-se-aceptan-mascotas/157746704/d,2 habs.,2 baños,80 m²,con ascensor,"T10916-5 Alquiler de temporada, de 1 mes a 11 meses. Disponible a partir del 28-01-2021. Si estás buscando pasar una temporada máxima de 12 meses en Barcelona, y buscas un lugar céntrico, este hermoso apartamento ubicado en el distrito del Eixample es tu inmueble ideal. La decoración de este apar..."
157746669,2020-11-02 18:59:21,1395,Eixample,Piso,932 938 436,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/157746669/d,4 habs.,2 baños,95 m²,con ascensor y terraza,"I14138-3 Alquiler de temporada, de 1 mes a 11 meses. Disponible a partir del 13-11-2020.  I14138-3"
157746668,2020-11-02 18:59:21,1195,Sant Martí,Piso,932 938 436,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/157746668/d,2 habs.,2 baños,105 m²,con ascensor y terraza,"I14137-3 Alquiler de temporada, de 1 mes a 11 meses. Disponible a partir del 13-11-2020.  I14137-3"
157746659,2020-11-02 18:59:21,1100,Gràcia,Piso,932 938 436,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/calefaccion-terraza-amueblado/157746659/d,2 habs.,1 baño,80 m²,con terraza,"I12757-5 Alquiler de temporada, de 1 mes a 11 meses. Disponible a partir del 06-11-2020. Esplendido piso amueblado junto al Paseo de Sant Joan, en alquiler por meses, en pleno distrito Gracia, entre las calles Josep Torres y Fraternitat. Se trata de una vivienda de dos dormitorios dobles, un cuar..."
157746652,2020-11-02 18:59:21,1895,Eixample,Piso,932 938 436,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-se-aceptan-mascotas/157746652/d,3 habs.,2 baños,110 m²,con ascensor,"T14177-1 Alquiler de temporada, de 1 mes a 11 meses.  T14177-1"
157746646,2020-11-02 18:59:21,800,"Carrer de Padilla, Horta - Guinardó",Piso,932 995 809,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/ascensor/157746646/d,3 habs.,1 baño,70 m²,con ascensor,"Se alquila piso de 3 dormitorios (2 dobles y 1 individual), salón, cocina, galería y balcón. Es una 3ª planta de altura real con ascensor, exterior a calle. En buen estado de conservación, parqué nuevo y baño reformado a estrenar. El inmueble se entrega sin muebles ni electrodomésticos. Muy b..."
157746619,2020-11-02 18:59:21,1300,Eixample,Piso,931 345 294,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157746619/d,3 habs.,2 baños,100 m²,con ascensor,"Piso en alquiler amplio, tranquilo y luminoso situado en el Eixample, el Eixample Esquerra de Barcelona. Piso reformado y amueblado (posibilidad de quitar los muebles) de 120 m2 habitables con suelo de mármol y aire acondicionado frio/calor, un amplio salón comedor con ventanales que dan a patio ..."
157746602,2020-11-02 18:59:21,775,"Fontrodona, 72, Sants - Montjuïc",Piso,932 995 316,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/ascensor-amueblado/157746602/d,2 habs.,1 baño,48 m²,con ascensor,"Fantastico piso, totalmente reformado! Exterior, con mucha luz y sol directo.   Consta: Salon - comedor, con 1 una ventana y salida a balcon a calle, Fontrodona, con cocina abierta a este, totalmente equipada de muebles y electrodomesticos, vitroceramica, campana extractora, lavadora y frigor..."
157746551,2020-11-02 18:59:21,1300,"Carrer de la Reina Amàlia 18, Ciutat Vella",Piso,932 828 534,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-trastero-amueblado/157746551/d,2 habs.,1 baño,65 m²,con terraza,"Se alquila a través de Propify.es, reduciendo en más de la mitad los gastos y comisiones tradicionales. Solo se puede reservar la visita clicando en el ""Contactar"" de esta página, enseguida te llegará un mensaje con las horas de visitas disponibles.  Fascinante dúplex de 65 m2 con terraza de 20 m..."
157746522,2020-11-02 18:59:21,1050,"Plaça de Francesc Macià, 8, Eixample",Piso,932 515 307,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-amueblado/157746522/d,2 habs.,1 baño,70 m²,con ascensor,"Piso semi amueblado, cuenta con nevera, horno, lavadora, armario empotrado y algunas cajoneras que se pueden apreciar en las fotos. Es exterior luminoso con ventanales dobles, cuenta con 2 habitaciones, cocina americana, salón comedor, baño  y lavadero. Es una finca  con 3 ascensores (1 montaca..."
157746521,2020-11-02 18:59:21,1050,"Robrenyo, Sants - Montjuïc",Piso,932 513 614,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor/157746521/d,2 habs.,1 baño,84 m²,con ascensor y terraza,"BONITO PISO DE 2 HABITACIONES CON BALCÓN. Se trata de un piso de 84m2, con un gran salón-comedor muy luminoso con salida a balcón exterior a calle, 2 habitaciones, la de matrimonio tiene un gran armario empotrado, 1 baño completo con plato de ducha, y cocina totalmente equipada. Suelo de parque..."
157746517,2020-11-02 18:59:21,990,"Casanova, Eixample",Piso,932 513 614,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-amueblado/157746517/d,2 habs.,1 baño,76 m²,con ascensor,"BONITO PISO DE 2 HABITACIONES AMUEBLADO Y EQUIPADO. La vivienda consta de 67m2 distribuidos de la siguiente manera: Al entrar tenemos un bonito recibidor que nos da acceso al pasillo a través del cual nos vamos encontrando las diferentes estancias, una habitación individual equipada con cama, me..."
157746491,2020-11-02 18:59:21,950,"Gaudí, 77, Eixample",Piso,932 934 068,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/terraza-ascensor/157746491/d,3 habs.,1 baño,60 m²,con ascensor y terraza,"Referencia del inmueble: 07486-A  AVENIDA GAUDÍ - SANT ANTONI Mª CLARET: Se alquila piso reformado en alquiler en la zona de la Sagrada Familia de 60m² aprox. Se compone de 3 habitaciones (una de ellas doble), un gran salón - comedor exterior a terraza, una completa cocina americana, un acogedo..."
157746251,2020-11-02 18:59:21,767,"Carrer de Brusi, Sarrià - Sant Gervasi",Ático,,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/terraza-ascensor/157746251/d,,1 baño,29 m²,con ascensor y terraza,"***IBI 17,30 EUROS. EL TOTAL ALQUILER  MENSUAL CON GASTOS ES DE 767,30 euros *** Ático con terraza tipo loft encantador y en el Bonito barrio de Sant Gervasi consta de cocina equipada con electrodomésticos, armarios, mesa, sillas, un baño completo con plato de ducha y mampara, el salón - comedor..."
157746146,2020-11-02 18:59:21,725,"Carrer del Consell de Cent, 602, Sant Martí",Piso,932 995 316,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/terraza-no-amueblado/157746146/d,3 habs.,1 baño,60 m²,con terraza,"A 7 MIN AND. AL CENTRO COMERCIAL DE LAS GLORIAS Y MERCAT DELS ENCANTS NOUS! EL CLOT   Fantástico piso de 70 m2, con terraza sol directo y vistas al mar y Torre Agbar de Barcelona.  En una de las zonas más solicitadas para vivir de Barcelona, gracias a su proximidad al centro de la cuidad, pe..."
157746088,2020-11-02 18:59:21,1060,"Carrer Sardenya, Horta - Guinardó",Piso,932 886 902,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-ascensor-amueblado/157746088/d,2 habs.,1 baño,70 m²,con ascensor,"Fantástico piso en finca semi nueva situado en Gracia nova, consta de 70 m2, con un amplio salón comedor, cocina independiente, 2 habitaciones 1 de ellas doble, baño completo, gran balcón y Pkg incluido en el precio, el piso está casi todo amueblado, dispone también de nevera y lavadora. Impecabl..."
157746083,2020-11-02 18:59:21,5000,"Carrer Bruc, Eixample",Piso,932 515 098,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157746083/d,5 habs.,2 baños,250 m²,con ascensor,Este apartamento está situado en el corazón del Eixample barcelonés. A sólo 3 calles de la avenida principal de la ciudad el Passeig de Gràcia. Desde allí a pocos metros se puede visitar la famosa “Casa Batllò” y si caminas 4 calles más encuentras la “Casa Milà”. Hacia el otro lado del Passeig de...
157746033,2020-11-02 18:59:21,575,"Carrer de Calvet, 10, Sarrià - Sant Gervasi",Estudio,931 335 873,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/terraza-no-amueblado/157746033/d,,1 baño,22 m²,con terraza,"Estudio sin muebles con 2 terrazas. Da todo al exterior, situado entre las calles Mariano Cubí y la Avenida Diagonal."
157746003,2020-11-02 18:59:21,900,"Carrer Casp, 113, Eixample",Piso,935 432 974,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor/157746003/d,3 habs.,2 baños,71 m²,con ascensor,"CASP-SICÍLIA. Piso de 3 Habitaciones (2 dobles + 1 individual). 2 baños en buen estado. Cocina reformada. Patio de 6m² Calefacción. Exterior. Orientación Este. Finca con ascensor. Precio de alquiler 900€ Índex referencia 14,36€m²"
157746001,2020-11-02 18:59:21,650,"Nou de la Rambla, Ciutat Vella",Piso,932 513 204,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157746001/d,1 hab.,1 baño,40 m²,con ascensor,"DISPUNIBLE A PARTIR DE 01/12/2020    Studio de 40m2 recién reformado, tiene una cocina moderna totalmente equipada con una lavadora / secadora y todos los electrodomésticos necesarios. También tiene  un precioso cuarto de baño con ducha y un gran dormitorio con una cama doble y ventanas por donde..."
157745990,2020-11-02 18:59:21,700,"Baluard, Ciutat Vella",Piso,932 754 169,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-amueblado-television-se-aceptan-mascotas/157745990/d,2 habs.,1 baño,40 m²,,"BONITO PISO DE DOS HABITACIONES DOBLES, AMBAS CON VENTA EXTERIOR, CON EL MOBILIARIO COMPLETO,  SALÓN COMEDOR,  SOFÁ, CON COCINA AMERICANA, COMPLETAMENTE AMUEBLADO Y EQUIPADO,  BAÑO, Y UN BALCÓN GRANDE, DEL CUAL SE PUEDE PARECIAR LA PLAYA  POR UN SECTOR.  EL PISO SE ALQUILA POR 11 MESES RENOBABL..."
157745948,2020-11-02 18:59:21,975,"Carrer de Marià Cubí, 183, Sarrià - Sant Gervasi",Piso,932 935 092,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/ascensor-se-aceptan-mascotas/157745948/d,2 habs.,1 baño,65 m²,con ascensor,"Magnífico piso de dos habitaciones en el centro de Galvany, ideal para una pareja que quiera vivir en una de las mejores zonas de Barcelona. Sala de estar y habitación doble exteriores. El piso consta de un dormitorio doble (equipada con un gran armario empotrado y una habitación pequeña, ideal c..."
